Timestamp,Epoch,Train_Loss,Val_Loss,Epoch_Time(s),Best_Val_Loss,Improved
2025-11-05 09:55:59,50,0.085241,0.085400,92.93,0.085322,No
2025-11-05 09:57:31,51,0.085175,0.085427,92.30,0.085322,No
2025-11-05 09:58:55,52,0.085171,0.085478,83.99,0.085322,No
2025-11-05 10:00:23,53,0.085183,0.085388,87.64,0.085322,No
2025-11-05 10:01:57,54,0.085096,0.085776,94.59,0.085322,No
2025-11-05 10:03:49,55,0.085073,0.085384,111.26,0.085322,No
2025-11-05 10:06:15,56,0.085051,0.085582,146.57,0.085322,No
2025-11-05 10:07:52,57,0.085018,0.085311,96.61,0.085311,Yes
2025-11-05 10:09:25,58,0.084999,0.085289,92.86,0.085289,Yes
2025-11-05 10:10:57,59,0.084936,0.085286,92.74,0.085286,Yes
2025-11-05 10:12:26,60,0.084907,0.085285,88.96,0.085285,Yes
2025-11-05 10:14:06,61,0.084907,0.085354,99.34,0.085285,No
2025-11-05 10:15:44,62,0.084886,0.085158,98.64,0.085158,Yes
2025-11-05 10:17:25,63,0.084884,0.085131,100.13,0.085131,Yes
2025-11-05 10:18:58,64,0.084796,0.085089,93.34,0.085089,Yes
2025-11-05 10:20:37,65,0.084823,0.085123,98.69,0.085089,No
2025-11-05 10:22:31,66,0.084777,0.085141,114.74,0.085089,No
2025-11-05 10:32:09,67,0.084752,0.085054,577.98,0.085054,Yes
2025-11-05 10:34:33,68,0.084709,0.084949,143.84,0.084949,Yes
2025-11-05 10:37:03,69,0.084696,0.085090,149.60,0.084949,No
2025-11-05 10:38:38,70,0.084648,0.084954,95.07,0.084949,No
2025-11-05 10:40:13,71,0.084630,0.085002,94.78,0.084949,No
2025-11-05 10:42:25,72,0.084694,0.084926,131.91,0.084926,Yes
2025-11-05 10:47:52,73,0.084632,0.084733,327.01,0.084733,Yes
2025-11-05 10:48:29,74,0.084546,0.084597,37.62,0.084597,Yes
2025-11-05 10:49:13,75,0.084584,0.084789,43.31,0.084597,No
2025-11-05 10:49:53,76,0.084520,0.084958,40.10,0.084597,No
2025-11-05 10:50:31,77,0.084507,0.084978,38.13,0.084597,No
2025-11-05 10:51:12,78,0.084519,0.084584,41.18,0.084584,Yes
2025-11-05 10:51:53,79,0.084488,0.085078,40.83,0.084584,No
2025-11-05 10:53:25,80,0.084506,0.084953,91.73,0.084584,No
2025-11-05 10:55:52,81,0.084447,0.084811,147.83,0.084584,No
2025-11-05 10:58:01,82,0.084443,0.084794,128.71,0.084584,No
2025-11-05 11:00:27,83,0.084417,0.084999,146.08,0.084584,No
2025-11-05 11:01:58,84,0.084411,0.084684,90.41,0.084584,No
2025-11-05 11:03:10,85,0.084349,0.084864,72.72,0.084584,No
2025-11-05 11:05:34,86,0.084345,0.084846,143.95,0.084584,No
2025-11-05 11:07:31,87,0.084314,0.084711,116.64,0.084584,No
2025-11-05 11:09:46,88,0.084298,0.084670,135.06,0.084584,No
2025-11-05 11:12:03,89,0.084331,0.084551,136.58,0.084551,Yes
2025-11-05 11:12:59,90,0.084236,0.084411,56.89,0.084411,Yes
2025-11-05 11:13:44,91,0.084293,0.084778,44.99,0.084411,No
